neutral_ratio,color_harmony,color_count,style_compatibility,formality_consistency,occasion_suitability,seasonal_suitability,layering_score,garment_compatibility,outfit_completeness,rule_based_quality_score
0.6667,0.9,1.0,0.5833,0.3333,1.0,1.0,0.6,0.7,1.0,0.7492
0.6667,0.9,1.0,0.5833,0.3333,1.0,1.0,0.6,0.6667,0.9,0.7425
0.6667,0.9,1.0,0.5833,0.3333,1.0,1.0,1.0,0.6667,0.8,0.7575
0.6667,0.9,1.0,0.5833,0.3333,1.0,1.0,1.0,0.75,0.9,0.7667
0.75,0.9,0.6667,0.75,1.0,1.0,1.0,0.6,1.0,1.0,0.8808
0.75,0.9,0.6667,0.3333,1.0,1.0,1.0,0.6,0.75,1.0,0.8058
0.75,0.9,0.6667,0.5,0.3333,1.0,1.0,0.6,0.75,1.0,0.7308
1.0,1.0,1.0,0.5,0.3333,1.0,1.0,1.0,0.6667,0.9,0.8033
1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,0.6667,0.9,0.8783
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9,0.92
1.0,1.0,1.0,0.5,0.3333,1.0,1.0,1.0,0.6667,0.9,0.8033
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9,0.92
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.9,0.9075
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6667,0.9,0.9033
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8,0.915
0.5,0.9,1.0,0.5,0.6667,1.0,1.0,0.4,0.5,0.8,0.74
0.5,0.9,1.0,0.5833,0.6667,1.0,1.0,0.4,0.6667,0.9,0.7658
0.5,0.9,1.0,0.5,0.6667,1.0,1.0,0.4,0.5,0.8,0.74
0.6667,0.9,1.0,0.5833,0.6667,1.0,1.0,0.4,0.6667,0.9,0.7825
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,1.0,0.6667,0.9,0.75
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,1.0,0.75,0.9,0.7542
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,1.0,0.75,0.9,0.7542
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,0.6,0.6667,0.9,0.73
0.5,0.9,1.0,0.5,0.3333,1.0,1.0,1.0,0.6667,0.8,0.7283
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.6,0.8,1.0,0.895
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.9,0.9075
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.6,1.0,1.0,0.905
0.75,0.9,0.6667,0.5,1.0,1.0,1.0,0.6,0.75,0.9,0.8258
0.75,0.9,0.6667,0.5,1.0,1.0,1.0,0.6,0.8,1.0,0.8333
0.5,0.9,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9,0.85
0.6667,0.9,1.0,0.3333,1.0,1.0,1.0,1.0,0.7,1.0,0.8317
0.5,0.8,0.6667,0.5833,0.3333,1.0,1.0,1.0,0.625,1.0,0.7121
0.3333,0.8,1.0,0.5833,0.3333,1.0,1.0,1.0,0.7083,0.9,0.7112
0.5,0.9,1.0,0.5,0.3333,1.0,1.0,0.4,0.6667,0.8,0.6983
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,1.0,0.75,0.9,0.7542
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,1.0,0.6667,0.9,0.75
0.5,0.9,1.0,0.5,0.3333,1.0,1.0,1.0,0.6667,0.8,0.7283
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,0.6,0.8,1.0,0.7417
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,0.6,0.7,1.0,0.7367
0.5,0.9,1.0,0.5,0.3333,1.0,1.0,0.4,0.6667,0.8,0.6983
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,0.4,0.6667,0.9,0.72
0.5,0.9,1.0,0.5,0.3333,1.0,1.0,0.4,0.75,0.9,0.7075
0.6667,0.9,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.9,0.8542
0.6667,0.9,1.0,0.5,1.0,1.0,1.0,0.6,0.75,0.9,0.8342
0.5,0.9,1.0,0.5833,0.3333,1.0,1.0,0.6,0.7,1.0,0.7325
0.5,0.9,1.0,0.5833,0.3333,1.0,1.0,1.0,0.6667,0.8,0.7408
0.6667,0.9,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.8,0.8992
0.5,0.9,1.0,0.5,0.6667,1.0,1.0,0.4,0.5,0.8,0.74
0.6667,0.9,1.0,0.5833,0.6667,1.0,1.0,0.4,0.6667,0.9,0.7825
0.6667,0.9,1.0,0.5833,0.6667,1.0,1.0,1.0,0.75,1.0,0.8217
0.6667,0.9,1.0,0.5833,0.6667,1.0,1.0,1.0,0.625,1.0,0.8154
0.5,0.9,1.0,0.5833,0.6667,1.0,1.0,0.4,0.5833,0.9,0.7617
0.3333,0.8,1.0,0.5833,0.3333,1.0,1.0,0.4,0.5833,0.9,0.675
0.3333,0.8,1.0,0.5833,0.3333,1.0,1.0,1.0,0.7083,0.9,0.7112
0.5,0.8,0.6667,0.5833,0.3333,1.0,1.0,0.4,0.7083,0.9,0.6812
0.3333,0.8,1.0,0.5833,0.3333,1.0,1.0,1.0,0.65,1.0,0.7133
0.3333,0.8,1.0,0.5833,0.3333,1.0,1.0,0.4,0.5833,0.8,0.67
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9,0.92
1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,0.6667,0.9,0.8783
1.0,1.0,1.0,0.3333,1.0,1.0,1.0,0.6,0.6667,0.9,0.8583
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8,0.915
1.0,1.0,1.0,0.3333,1.0,1.0,1.0,0.6,0.6667,1.0,0.8633
0.75,0.9,0.6667,0.5,0.3333,1.0,1.0,0.6,0.75,1.0,0.7308
0.75,0.9,0.6667,0.5,1.0,1.0,1.0,0.6,0.7,1.0,0.8283
0.6667,0.9,1.0,0.5,0.3333,1.0,1.0,0.6,0.6667,0.9,0.73
0.75,0.9,0.6667,0.5,1.0,1.0,1.0,0.6,0.75,0.9,0.8258
1.0,1.0,1.0,0.5,0.3333,1.0,1.0,1.0,0.6667,0.9,0.8033
